,Field Name,Description,Source,bidding zone,control area,country,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD,target
209,IT_SUD_solar_generation_actual,Actual solar generation in IT-South (bidding zone) in MW,ENTSO-E Transparency,IT_SUD,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
210,IT_SUD_wind_onshore_generation_actual,Actual wind_onshore generation in IT-South (bidding zone) in MW,ENTSO-E Transparency,IT_SUD,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
211,LT_load_actual_entsoe_transparency,Total load in Lithuania in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,LT,LT,LT,Lithuania,country,True,True,Litgrid,True,True,False,False,False,True,False,False,False
213,LT_solar_generation_actual,Actual solar generation in Lithuania in MW,ENTSO-E Transparency,,,LT,LT,LT,Lithuania,country,True,True,Litgrid,True,True,False,False,False,True,False,False,False
214,LT_wind_onshore_generation_actual,Actual wind_onshore generation in Lithuania in MW,ENTSO-E Transparency,,,LT,LT,LT,Lithuania,country,True,True,Litgrid,True,True,False,False,False,True,False,False,False
215,LU_load_actual_entsoe_transparency,Total load in Luxembourg in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,LU,LU,LU,Luxembourg,country,True,True,Luxembourg_default,True,False,False,False,False,True,False,False,False
217,LV_load_actual_entsoe_transparency,Total load in Latvia in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,LV,LV,LV,Latvia,country,True,True,AST,True,True,False,False,False,True,False,False,False
219,LV_wind_onshore_generation_actual,Actual wind_onshore generation in Latvia in MW,ENTSO-E Transparency,,,LV,LV,LV,Latvia,country,True,True,AST,True,True,False,False,False,True,False,False,False
220,ME_load_actual_entsoe_transparency,Total load in Montenegro in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,ME,ME,ME,Montenegro,country,False,False,CGES,True,True,False,False,False,True,False,False,False
223,NL_load_actual_entsoe_transparency,Total load in Netherlands in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,NL,NL,NL,Netherlands,country,True,True,TenneT NL,True,True,False,False,False,True,False,False,False
226,NL_wind_generation_actual,Actual wind generation in Netherlands in MW,own calculation based on ENTSO-E Transparency,,,NL,NL,NL,Netherlands,country,True,True,TenneT NL,True,True,False,False,False,True,False,False,False
227,NL_wind_offshore_generation_actual,Actual wind_offshore generation in Netherlands in MW,own calculation based on ENTSO-E Transparency,,,NL,NL,NL,Netherlands,country,True,True,TenneT NL,True,True,False,False,False,True,False,False,False
228,NL_wind_onshore_generation_actual,Actual wind_onshore generation in Netherlands in MW,own calculation based on ENTSO-E Transparency,,,NL,NL,NL,Netherlands,country,True,True,TenneT NL,True,True,False,False,False,True,False,False,False
229,NO_load_actual_entsoe_transparency,Total load in Norway in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,NO,NO,NO,Norway,country,False,False,Norway,True,True,False,False,False,True,False,False,False
231,NO_wind_onshore_generation_actual,Actual wind_onshore generation in Norway in MW,ENTSO-E Transparency,,,NO,NO,NO,Norway,country,False,False,Norway,True,True,False,False,False,True,False,False,False
234,NO_1_price_day_ahead,Day-ahead spot price for NO1 (bidding zone) in EUR,ENTSO-E Transparency,NO_1,,NO,NO,NO,Norway,country,False,False,Norway,True,True,False,False,False,True,False,False,True
238,NO_2_price_day_ahead,Day-ahead spot price for NO2 (bidding zone) in EUR,ENTSO-E Transparency,NO_2,,NO,NO,NO,Norway,country,False,False,Norway,True,True,False,False,False,True,False,False,True
239,NO_2_wind_onshore_generation_actual,Actual wind_onshore generation in NO2 (bidding zone) in MW,ENTSO-E Transparency,NO_2,,NO,NO,NO,Norway,country,False,False,Norway,True,True,False,False,False,True,False,False,False
240,NO_3_load_actual_entsoe_transparency,Total load in NO3 (bidding zone) in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,NO_3,,NO,NO,NO,Norway,country,False,False,Norway,True,True,False,False,False,True,False,False,False
242,NO_3_price_day_ahead,Day-ahead spot price for NO3 (bidding zone) in EUR,ENTSO-E Transparency,NO_3,,NO,NO,NO,Norway,country,False,False,Norway,True,True,False,False,False,True,False,False,True
243,NO_3_wind_onshore_generation_actual,Actual wind_onshore generation in NO3 (bidding zone) in MW,ENTSO-E Transparency,NO_3,,NO,NO,NO,Norway,country,False,False,Norway,True,True,False,False,False,True,False,False,False
246,NO_4_price_day_ahead,Day-ahead spot price for NO4 (bidding zone) in EUR,ENTSO-E Transparency,NO_4,,NO,NO,NO,Norway,country,False,False,Norway,True,True,False,False,False,True,False,False,True
247,NO_4_wind_onshore_generation_actual,Actual wind_onshore generation in NO4 (bidding zone) in MW,ENTSO-E Transparency,NO_4,,NO,NO,NO,Norway,country,False,False,Norway,True,True,False,False,False,True,False,False,False
248,NO_5_load_actual_entsoe_transparency,Total load in NO5 (bidding zone) in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,NO_5,,NO,NO,NO,Norway,country,False,False,Norway,True,True,False,False,False,True,False,False,False
250,NO_5_price_day_ahead,Day-ahead spot price for NO5 (bidding zone) in EUR,ENTSO-E Transparency,NO_5,,NO,NO,NO,Norway,country,False,False,Norway,True,True,False,False,False,True,False,False,True
252,PL_load_actual_entsoe_transparency,Total load in Poland in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,PL,PL,PL,Poland,country,True,True,PSE SA,True,True,False,True,False,True,False,False,False
255,PL_wind_onshore_generation_actual,Actual wind_onshore generation in Poland in MW,ENTSO-E Transparency,,,PL,PL,PL,Poland,country,True,True,PSE SA,True,True,False,True,False,True,False,False,False
256,PT_load_actual_entsoe_transparency,Total load in Portugal in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,PT,PT,PT,Portugal,country,True,True,REN,True,True,False,False,False,True,False,False,False
258,PT_solar_generation_actual,Actual solar generation in Portugal in MW,ENTSO-E Transparency,,,PT,PT,PT,Portugal,country,True,True,REN,True,True,False,False,False,True,False,False,False
261,PT_wind_onshore_generation_actual,Actual wind_onshore generation in Portugal in MW,ENTSO-E Transparency,,,PT,PT,PT,Portugal,country,True,True,REN,True,True,False,False,False,True,False,False,False
262,RO_load_actual_entsoe_transparency,Total load in Romania in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,RO,RO,RO,Romania,country,True,True,Transelectrica,True,True,False,False,False,True,False,False,False
264,RO_solar_generation_actual,Actual solar generation in Romania in MW,ENTSO-E Transparency,,,RO,RO,RO,Romania,country,True,True,Transelectrica,True,True,False,False,False,True,False,False,False
265,RO_wind_onshore_generation_actual,Actual wind_onshore generation in Romania in MW,ENTSO-E Transparency,,,RO,RO,RO,Romania,country,True,True,Transelectrica,True,True,False,False,False,True,False,False,False
266,RS_load_actual_entsoe_transparency,Total load in Serbia in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,RS,RS,RS,Serbia,country,False,False,EMS,True,False,False,False,False,True,False,False,False
273,SE_wind_onshore_generation_actual,Actual wind_onshore generation in Sweden in MW,ENTSO-E Transparency,,,SE,SE,SE,Sweden,country,True,True,Sweden,True,True,False,True,False,True,True,False,False
274,SE_1_load_actual_entsoe_transparency,Total load in SE1 (bidding zone) in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,SE_1,,SE,SE,SE,Sweden,country,True,True,Sweden,True,True,False,True,False,True,True,False,False
276,SE_1_price_day_ahead,Day-ahead spot price for SE1 (bidding zone) in EUR,ENTSO-E Transparency,SE_1,,SE,SE,SE,Sweden,country,True,True,Sweden,True,True,False,True,False,True,True,False,True
277,SE_1_wind_onshore_generation_actual,Actual wind_onshore generation in SE1 (bidding zone) in MW,ENTSO-E Transparency,SE_1,,SE,SE,SE,Sweden,country,True,True,Sweden,True,True,False,True,False,True,True,False,False
278,SE_2_load_actual_entsoe_transparency,Total load in SE2 (bidding zone) in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,SE_2,,SE,SE,SE,Sweden,country,True,True,Sweden,True,True,False,True,False,True,True,False,False
280,SE_2_price_day_ahead,Day-ahead spot price for SE2 (bidding zone) in EUR,ENTSO-E Transparency,SE_2,,SE,SE,SE,Sweden,country,True,True,Sweden,True,True,False,True,False,True,True,False,True
281,SE_2_wind_onshore_generation_actual,Actual wind_onshore generation in SE2 (bidding zone) in MW,ENTSO-E Transparency,SE_2,,SE,SE,SE,Sweden,country,True,True,Sweden,True,True,False,True,False,True,True,False,False
284,SE_3_price_day_ahead,Day-ahead spot price for SE3 (bidding zone) in EUR,ENTSO-E Transparency,SE_3,,SE,SE,SE,Sweden,country,True,True,Sweden,True,True,False,True,False,True,True,False,True
285,SE_3_wind_onshore_generation_actual,Actual wind_onshore generation in SE3 (bidding zone) in MW,ENTSO-E Transparency,SE_3,,SE,SE,SE,Sweden,country,True,True,Sweden,True,True,False,True,False,True,True,False,False
288,SE_4_price_day_ahead,Day-ahead spot price for SE4 (bidding zone) in EUR,ENTSO-E Transparency,SE_4,,SE,SE,SE,Sweden,country,True,True,Sweden,True,True,False,True,False,True,True,False,True
