,Field Name,Description,Source,bidding zone,control area,country,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD,target
104,FI_load_forecast_entsoe_transparency,Day-ahead load forecast in Finland in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,FI,FI,FI,Finland,country,True,True,Fingrid,True,True,False,False,False,True,False,False,False
105,FI_wind_onshore_generation_actual,Actual wind_onshore generation in Finland in MW,ENTSO-E Transparency,,,FI,FI,FI,Finland,country,True,True,Fingrid,True,True,False,False,False,True,False,False,False
106,FR_load_actual_entsoe_transparency,Total load in France in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,FR,FR,FR,France,country,True,True,RTE,True,True,False,True,False,True,False,False,False
107,FR_load_forecast_entsoe_transparency,Day-ahead load forecast in France in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,FR,FR,FR,France,country,True,True,RTE,True,True,False,True,False,True,False,False,False
108,FR_solar_generation_actual,Actual solar generation in France in MW,ENTSO-E Transparency,,,FR,FR,FR,France,country,True,True,RTE,True,True,False,True,False,True,False,False,False
109,FR_wind_onshore_generation_actual,Actual wind_onshore generation in France in MW,ENTSO-E Transparency,,,FR,FR,FR,France,country,True,True,RTE,True,True,False,True,False,True,False,False,False
110,GB_GBN_load_actual_entsoe_transparency,Total load in Great Britain in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,False
111,GB_GBN_load_forecast_entsoe_transparency,Day-ahead load forecast in Great Britain in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,False
112,GB_GBN_price_day_ahead,Day-ahead spot price for Great Britain in GBP,ENTSO-E Transparency,,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,True
113,GB_GBN_solar_capacity,Electrical capacity of solar in Great Britain in MW,"own calculation based on UK Government Department of Business, Energy & Industrial Strategy (BEIS)",,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,False
114,GB_GBN_solar_generation_actual,Actual solar generation in Great Britain in MW,own calculation based on ENTSO-E Transparency,,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,False
115,GB_GBN_solar_profile,Share of solar capacity producing in Great Britain,"own calculation based on ENTSO-E Transparency and UK Government Department of Business, Energy & Industrial Strategy (BEIS)",,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,False
116,GB_GBN_wind_capacity,Electrical capacity of wind in Great Britain in MW,"own calculation based on UK Government Department of Business, Energy & Industrial Strategy (BEIS)",,,GB_GBN,GB,GB,National Grid BZ,country,False,False,National Grid,True,True,True,False,False,False,False,True,False
