area ID,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,15min,30min,60min,EIC,meaning cf. ENTSO-E,country,bidding zone,bidding zone aggregation,control area,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD
SE_2,,SE2,SE2 BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A45N,SE2 BZ / MBA,,SE2,,,SE2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
SE_3,,SE3,SE3 BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A46L,SE3 BZ / MBA,,SE3,,,SE3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
SE_4,,SE4,SE4 BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A47J,SE4 BZ / MBA,,SE4,,,SE4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
SI,SI,SI,Slovenia,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YSI-ELES-----O,"Slovenia, ELES BZ / CA / MBA",Slovenia,ELES,,ELES,ELES,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SK,SK,SK,Slovakia,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YSK-SEPS-----K,"Slovakia, SEPS BZ / CA / MBA",Slovakia,SEPS,,SEPS,SEPS,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
AL,AL,,,country,FALSE,FALSE,,,,10YAL-KESH-----5,"Albania, OST BZ / CA / MBA",Albania,OST,,OST,OST,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
,BY,,,country,FALSE,FALSE,,,,BY,Belarus,Belarus,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,bidding zone,FALSE,FALSE,,,,10Y1001A1001A51S,Belarus BZ / CA / MBA,,Belarus,,Belarus,Belarus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,bidding zone,FALSE,TRUE,TRUE,FALSE,TRUE,10YDOM-CZ-DE-SKK,BZ CZ+DE+SK BZ / BZA,,BZ CZ+DE+SK,BZ CZ+DE+SK,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,region,FALSE,TRUE,,,,10YDOM-REGION-1V,CWE Region,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DE_LU,,DE-LU,DE-LU BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A82H,DE-LU BZ / MBA,,DE-LU,,,DE-LU,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,IT-MACROZONE NORTH MBA,market balance area,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A84D,IT-MACROZONE NORTH MBA,,,,,IT-MACROZONE NORTH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,IT-MACROZONE SOUTH MBA,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A85B,IT-MACROZONE SOUTH MBA,,,,,IT-MACROZONE SOUTH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A877,IT-Malta BZ,,IT-Malta,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,bidding zone,FALSE,FALSE,,,,10Y1001A1001A50U,Kaliningrad BZ / CA / MBA,,Kaliningrad,,Kaliningrad,Kaliningrad,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MT,MT,MT,Malta,country,TRUE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A93C,"Malta, Malta BZ / CA / MBA",Malta,Malta,,Malta,Malta,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,bidding zone aggregation,FALSE,TRUE,FALSE,FALSE,TRUE,10YDOM-1001A082L,PL-CZ BZA / CA,,,PL-CZ,PL-CZ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,MD,,,country,FALSE,FALSE,,,,10Y1001A1001A990,"Republic of Moldova, Moldelectica BZ/CA/MBA",Republic of Moldova,Moldelectica BZ,,Moldelectica CA,Moldelectica MBA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,bidding zone,FALSE,FALSE,,,,10Y1001A1001A49F,Russia BZ / CA / MBA,,Russia,,Russia,Russia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,RU,,,country,FALSE,FALSE,,,,RU,Russian Federation,Russian Federation,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TR,TR,,,country,FALSE,FALSE,,,,10YTR-TEIAS----W,Turkey BZ / CA / MBA,Turkey,Turkey,,Turkey,Turkey,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UA,UA,,Ukraine,country,FALSE,FALSE,FALSE,FALSE,TRUE,10Y1001C--00003F,"Ukraine, Ukraine BZ, MBA",Ukraine,Ukraine,,,Ukraine,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,control area,FALSE,FALSE,,,,10Y1001A1001A869,Ukraine-DobTPP CTA,,,,Ukraine-DobTPP CTA,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UA_west,UA,,Ukraine BEI CA,control area,FALSE,FALSE,FALSE,FALSE,TRUE,10YUA-WEPS-----0,Ukraine BEI CTA,,,,Ukraine BEI,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
UA_east,UA,,Ukraine IPS CA,control area,FALSE,FALSE,FALSE,FALSE,TRUE,10Y1001C--000182,Ukraine IPS CTA,,,,Ukraine IPS,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
